tid;strekning
0.000;0.0057
0.002;0.0056
0.004;0.0054
0.006;0.0052
0.008;0.0050
0.010;0.0049
0.012;0.0047
0.014;0.0045
0.016;0.0044
0.018;0.0041
0.020;0.0040
0.022;0.0038
0.024;0.0035
0.026;0.0034
0.028;0.0032
0.030;0.0029
0.032;0.0027
0.034;0.0024
0.036;0.0023
0.038;0.0021
0.040;0.0018
0.042;0.0016
0.044;0.0015
0.046;0.0012
0.048;0.0010
0.050;0.0009
0.052;0.0006
0.054;0.0005
0.056;0.0003
0.058;0.0001
0.060;0.0000
